id,analysis_id,stratum_1,stratum_2,stratum_3,stratum_4,stratum_5,count_value,min_value,max_value,avg_value,stdev_value,median_value,p10_value,p25_value,p75_value,p90_value
0,1815,3039835,0,8532,,,2062,0,12,0.16,0.76,0,0,0,0,0
0,1815,3039930,0,8507,,,635,0,38,0.11,1.97,0,0,0,0,0
0,1815,3039930,0,8532,,,571,0,93,0.42,5.48,0,0,0,0,0
0,1815,3040373,0,8507,,,1901,0,9.46,0.07,0.47,0,0,0,0,0
0,1815,3040373,0,8532,,,1959,0,8.86,0.05,0.4,0,0,0,0,0
0,1815,3040897,0,8507,,,2321,0,5,0.01,0.18,0,0,0,0,0
0,1815,3040897,0,8532,,,1999,0,9,0.01,0.25,0,0,0,0,0
0,1815,3041302,0,8532,,,11,0,1,0.09,0.3,0,0,0,0,0
0,1815,3041302,0,8507,,,4,0,1,0.25,0.5,0,0,0,0,0
0,1815,3041307,0,8507,,,77,0,2.41,0.23,0.55,0,0,0,0,0.01
0,1815,3041307,0,8532,,,74,0,5.68,0.42,0.99,0,0,0,0,0
0,1815,3041423,0,8507,,,52,0,182,11.44,29.33,0,0,0,0,0
0,1815,3042053,0,8532,,,2020,0,18,0.04,0.56,0,0,0,0,0
0,1815,3042053,0,8507,,,2350,0,20,0.06,0.67,0,0,0,0,0
0,1815,3042549,0,8532,,,6,0,30.1,14.37,13.14,0,0,0,0,0
0,1815,3043263,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,3044355,0,8507,,,7,0,3,1.14,1.07,0,0,0,0,0
0,1815,3045129,0,8507,,,2386,0,22,0.14,1.14,0,0,0,0,0
0,1815,3045129,0,8532,,,2065,0,49,0.16,1.61,0,0,0,0,0
0,1815,3045684,0,8532,,,257,0,138,0.93,10.61,0,0,0,0,0
0,1815,3045684,0,8507,,,114,0,102,6.75,22.59,0,0,0,0,0
0,1815,3046710,0,8507,,,745,0,367,4.67,30.09,0,0,0,0,0
0,1815,3046710,0,8532,,,607,0,81,1.17,7.1,0,0,0,0,0
0,1815,3047813,0,8507,,,112,0,207,7.09,30.34,0,0,0,0,0
0,1815,3047813,0,8532,,,220,0,319,12.26,41.15,0,0,0,0,0
0,1815,3050658,0,8532,,,1,75,75,75,,0,0,0,0,0
0,1815,3050658,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,3051205,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,3052851,0,8507,,,8,0,52,6.5,18.38,0,0,0,0,0
0,1815,3052851,0,8532,,,6,0,0,0,0,0,0,0,0,0
0,1815,40761514,0,8532,,,999040,0,1951,0.33,6.51,0,0,0,0,0
0,1815,40761514,0,8507,,,997377,0,1311,0.33,5.31,0,0,0,0,0
0,1815,40762478,0,8507,,,23,0,0.69,0.19,0.19,0,0,0,0,0.16
0,1815,40764191,0,8507,,,92,0,22,0.6,2.42,0,0,0,0,0
0,1815,40764191,0,8532,,,190,0,80,1.51,7.57,0,0,0,0,0
0,1815,40766800,0,8532,,,927,0,8.98,0.05,0.41,0,0,0,0,0
0,1815,40766800,0,8507,,,861,0,6.43,0.06,0.43,0,0,0,0,0
0,1815,8145811172,0,8532,,,4,0,41.6,10.44,20.78,0,0,0,0,0
0,1815,8150311183,0,8532,,,2,1,25,13,16.97,0,0,0,0,0
0,1815,8122711151,0,8507,,,149,0,102,5.17,19.94,0,0,0,0,0
0,1815,8152111176,0,8532,,,21,0,5,1.33,1.91,0,0,0,0,0
0,1815,8138611162,0,8532,,,74,0,5.68,0.42,0.99,0,0,0,0,0
0,1815,8123211171,0,8532,,,523,0,24.4,0.09,1.35,0,0,0,0,0
0,1815,8131111156,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8126711174,0,8532,,,8,0,0.02,0,0.01,0,0,0,0,0
0,1815,8153811169,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8150711170,0,8507,,,4171,0,84,1.7,6.02,0,0,0,0,0
0,1815,8129011156,0,8507,,,52,0,2600,417.4,583.69,0,0,0,0,150
0,1815,8117411175,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8122811164,0,8532,,,14,0,9.8,1.73,3.48,0,0,0,0,0
0,1815,8151511156,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8120211176,0,8507,,,4,0,0,0,0,0,0,0,0,0
0,1815,8155111189,0,8507,,,4,0,0,0,0,0,0,0,0,0
0,1815,8139511171,0,8532,,,952,0,0.3,0.01,0.04,0,0,0,0,0
0,1815,8150311175,0,8532,,,32,0,34,2.97,7.12,0,0,0,0,1
0,1815,8146111168,0,8532,,,9,0,0.69,0.13,0.23,0,0,0,0,0
0,1815,8133211169,0,8507,,,1,1,1,1,,0,0,0,0,0
0,1815,8120811178,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8150311163,0,8507,,,142,0,6,0.58,1.01,0,0,0,0,0
0,1815,8156311176,0,8507,,,2912,0,20,0.31,0.88,0,0,0,0,0
0,1815,8154711193,0,8532,,,3,0,0,0,0,0,0,0,0,0
0,1815,8145211166,0,8507,,,142,0,14,0.54,1.34,0,0,0,0,0
0,1815,8156711181,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8140311164,0,8507,,,7,0,6,3,2.16,0,0,0,0,0
0,1815,8149711150,0,8532,,,27,0,1.03,0.06,0.21,0,0,0,0,0
0,1815,8141211153,0,8507,,,3240,0,100,1.88,9.44,0,0,0,0,0
0,1815,8137711179,0,8532,,,19,0,1,0.32,0.48,0,0,0,0,0
0,1815,8158111170,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8143211157,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8119911165,0,8532,,,2801,0,10,0.02,0.34,0,0,0,0,0
0,1815,8145811172,0,8507,,,7,0,12.3,1.79,4.64,0,0,0,0,0
0,1815,8125611153,0,8532,,,4,0,1,0.5,0.58,0,0,0,0,1
0,1815,8125211154,0,8507,,,5,0,16.2,7.92,7.49,0,0,0,0,0
0,1815,8134511154,0,8507,,,1,1,1,1,,0,0,0,0,0
0,1815,8123811166,0,8507,,,21,0,3,0.29,0.72,0,0,0,0,0
0,1815,8125611152,0,8532,,,2,3,3,3,0,0,0,0,0,0
0,1815,8155211175,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8126711174,0,8507,,,4,0,0,0,0,0,0,0,0,0
0,1815,8140511159,0,8532,,,158,0,35.1,1.19,4.01,0,0,0,0,0
0,1815,8137211151,0,8532,,,2826,0,18,0.07,0.68,0,0,0,0,0
0,1815,8152311187,0,8532,,,2,0,0,0,0,0,0,0,0,0
0,1815,8146111154,0,8507,,,2762,0,9.46,0.07,0.46,0,0,0,0,0
0,1815,8155111189,0,8532,,,6,0,0,0,0,0,0,0,0,0
0,1815,8117311175,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8156011147,0,8507,,,4,0,0,0,0,0,0,0,0,0
0,1815,8156411151,0,8532,,,8,0,0,0,0,0,0,0,0,0
0,1815,8143511168,0,8532,,,1009,0,100,1.29,3.43,0,0,0,0,1
0,1815,8149411167,0,8532,,,363,0,1.21,0.01,0.07,0,0,0,0,0
0,1815,8148011162,0,8507,,,92,0,22,0.6,2.42,0,0,0,0,0
0,1815,8143811176,0,8507,,,10,0,95,10.6,29.79,0,0,0,0,0
0,1815,8139011171,0,8532,,,14,0,39.7,5.87,12.56,0,0,0,0,0
0,1815,8116411159,0,8507,,,2,0,0,0,0,0,0,0,0,0
0,1815,8115711160,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8134011137,0,8507,,,2,53,87,70,24.04,0,0,0,0,0
0,1815,8157211179,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8139911175,0,8532,,,11,0,1,0.09,0.3,0,0,0,0,0
0,1815,8133411165,0,8507,,,5,0,2,0.6,0.89,0,0,0,0,0
0,1815,8140011154,0,8532,,,1,1,1,1,,0,0,0,0,0
0,1815,8143011163,0,8507,,,2326,0,40,0.08,1.09,0,0,0,0,0
0,1815,8141211167,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8146511157,0,8507,,,64982,0,35.11,0.09,0.54,0,0,0,0,0
0,1815,8122411177,0,8507,,,1,0,0,0,,0,0,0,0,0
