"id","concept_id","value_as_concept_id","concept_name","type","est_count"
250,3004206,0,"MAX","NUM",1400
251,3004217,0,"MIN","NUM",0
252,3004217,0,"MAX","NUM",96.46
253,3004218,0,"MAX","NUM",252
254,3004218,0,"MIN","NUM",2
255,3004239,0,"MIN","NUM",0
256,3004239,0,"MAX","NUM",10530
257,3004248,0,"MAX","NUM",575
258,3004248,0,"MIN","NUM",5
259,3004254,0,"MAX","NUM",622
260,3004254,0,"MIN","NUM",4
261,3004327,0,"MAX","NUM",254800
262,3004327,0,"MIN","NUM",0
263,3004396,0,"MIN","NUM",1.2
264,3004396,0,"MAX","NUM",22.2
265,3004409,0,"MIN","NUM",3
266,3004409,0,"MAX","NUM",199
267,3004410,0,"MAX","NUM",972
268,3004410,0,"MIN","NUM",0
269,3004501,0,"MIN","NUM",0
270,3004501,0,"MAX","NUM",2640
271,3004564,0,"MAX","NUM",1743.8
272,3004564,0,"MIN","NUM",18.5
273,3004637,0,"MAX","NUM",1.7
274,3004637,0,"MIN","NUM",0.2
275,3004653,0,"MAX","NUM",77
276,3004653,0,"MIN","NUM",0.2
277,3004663,0,"MIN","NUM",148
278,3004663,0,"MAX","NUM",905
279,3004665,0,"MAX","NUM",25.8
280,3004665,0,"MIN","NUM",2.7
281,3004671,0,"MAX","NUM",0.26
282,3004671,0,"MIN","NUM",0.03
283,3004708,0,"MIN","NUM",0
284,3004708,0,"MAX","NUM",32.3
285,3004722,0,"MAX","NUM",5572.7
286,3004722,0,"MIN","NUM",0.5
287,3004739,0,"MAX","NUM",1233
288,3004739,0,"MIN","NUM",4
289,3004775,0,"MIN","NUM",0
290,3004775,0,"MAX","NUM",88883
291,3004789,0,"MIN","NUM",0
292,3004789,0,"MAX","NUM",691
293,3004905,0,"MIN","NUM",0
294,3004905,0,"MAX","NUM",45790
295,3004944,0,"MAX","NUM",80.1
296,3004944,0,"MIN","NUM",0.2
297,3004955,0,"MIN","NUM",5
298,3004955,0,"MAX","NUM",548
299,3004977,0,"MIN","NUM",0.32
300,3004977,0,"MAX","NUM",1.29
301,3005004,0,"MIN","NUM",0.5
302,3005004,0,"MAX","NUM",2
303,3005006,0,"MIN","NUM",60
304,3005006,0,"MAX","NUM",63
305,3005008,0,"MIN","NUM",0.6
306,3005008,0,"MAX","NUM",1
307,3005013,0,"MIN","NUM",0
308,3005013,0,"MAX","NUM",164
309,3005029,0,"MAX","NUM",7400
310,3005029,0,"MIN","NUM",0
311,3005050,0,"MAX","NUM",350
312,3005050,0,"MIN","NUM",0
313,3005081,0,"MAX","NUM",95.9
314,3005081,0,"MIN","NUM",0
315,3005148,0,"MAX","NUM",1250
316,3005148,0,"MIN","NUM",0
317,3005229,0,"MIN","NUM",0
318,3005229,0,"MAX","NUM",18.1
319,3005233,0,"MIN","NUM",-1
320,3005233,0,"MAX","NUM",26
321,3005235,0,"MIN","NUM",0.11
322,3005235,0,"MAX","NUM",76.4
323,3005241,0,"MAX","NUM",2
324,3005241,0,"MIN","NUM",2
325,3005244,0,"MAX","NUM",12
326,3005244,0,"MIN","NUM",0.1
327,3005260,0,"MAX","NUM",35.48
328,3005260,0,"MIN","NUM",0
329,3005308,0,"MAX","NUM",52
330,3005308,0,"MIN","NUM",12
331,3005322,0,"MIN","NUM",3
332,3005322,0,"MAX","NUM",36480
333,3005333,0,"MAX","NUM",36.7
334,3005333,0,"MIN","NUM",0.11
335,3005335,0,"MAX","NUM",1264
336,3005335,0,"MIN","NUM",1
337,3005353,0,"MIN","NUM",3
338,3005353,0,"MAX","NUM",146
339,3005356,0,"MAX","NUM",32.3
340,3005356,0,"MIN","NUM",0.07
341,3005398,0,"MIN","NUM",0.13
342,3005398,0,"MAX","NUM",1.48
343,3005456,0,"MAX","NUM",141
344,3005456,0,"MIN","NUM",0
345,3005512,0,"MIN","NUM",10
346,3005512,0,"MAX","NUM",305
347,3005535,0,"MIN","NUM",4
348,3005535,0,"MAX","NUM",4
349,3005627,0,"MAX","NUM",830.3
350,3005627,0,"MIN","NUM",0
351,3005665,0,"MIN","NUM",0
352,3005665,0,"MAX","NUM",48.48
353,3005673,0,"MAX","NUM",18.5
354,3005673,0,"MIN","NUM",2.7
355,3005685,0,"MIN","NUM",2
356,3005685,0,"MAX","NUM",231
357,3005715,0,"MAX","NUM",9999999
358,3005715,0,"MIN","NUM",0
359,3005719,0,"MIN","NUM",0
360,3005719,0,"MAX","NUM",23003
361,3005738,0,"MIN","NUM",0
362,3005738,0,"MAX","NUM",28.79
363,3005757,0,"MIN","NUM",1
364,3005757,0,"MAX","NUM",198
365,3005769,0,"MAX","NUM",73
366,3005769,0,"MIN","NUM",4
367,3005785,0,"MIN","NUM",0
368,3005785,0,"MAX","NUM",3552.2
369,3005788,0,"MAX","NUM",0.26
370,3005788,0,"MIN","NUM",0.26
371,3005819,0,"MIN","NUM",4
372,3005819,0,"MAX","NUM",195
373,3005839,0,"MIN","NUM",1
374,3005839,0,"MAX","NUM",83
375,3005893,0,"MIN","NUM",0.1
376,3005893,0,"MAX","NUM",20
377,3005895,0,"MIN","NUM",19
378,3005895,0,"MAX","NUM",93105
379,3005897,0,"MIN","NUM",1
380,3005897,0,"MAX","NUM",500
381,3005904,0,"MAX","NUM",4.87
382,3005904,0,"MIN","NUM",4.87
383,3005927,0,"MAX","NUM",20
384,3005927,0,"MIN","NUM",20
385,3005969,0,"MIN","NUM",0.1
386,3005969,0,"MAX","NUM",0.13
387,3006013,0,"MIN","NUM",0.77
388,3006013,0,"MAX","NUM",0.77
389,3006028,0,"MAX","NUM",1075
390,3006028,0,"MIN","NUM",2
391,3006078,0,"MAX","NUM",13.7
392,3006078,0,"MIN","NUM",0.11
393,3006101,0,"MIN","NUM",0.11
394,3006101,0,"MAX","NUM",14.6
395,3006109,0,"MAX","NUM",260
396,3006109,0,"MIN","NUM",1
397,3006142,0,"MIN","NUM",8
398,3006142,0,"MAX","NUM",8
399,3006147,0,"MAX","NUM",881
400,3006147,0,"MIN","NUM",61
401,3006179,0,"MAX","NUM",5
402,3006179,0,"MIN","NUM",0
403,3006277,0,"MIN","NUM",-179
404,3006277,0,"MAX","NUM",269
405,3006302,0,"MIN","NUM",2
406,3006302,0,"MAX","NUM",950
407,3006304,0,"MAX","NUM",87.5
408,3006304,0,"MIN","NUM",0.1
409,3006315,0,"MAX","NUM",131
410,3006315,0,"MIN","NUM",0
411,3006407,0,"MIN","NUM",5
412,3006407,0,"MAX","NUM",554000
413,3006451,0,"MAX","NUM",40.2
414,3006451,0,"MIN","NUM",0.11
415,3006467,0,"MIN","NUM",11.46
416,3006467,0,"MAX","NUM",138.25
417,3006471,0,"MIN","NUM",37
418,3006471,0,"MAX","NUM",1033
419,3006473,0,"MAX","NUM",55
420,3006473,0,"MIN","NUM",0
421,3006487,0,"MIN","NUM",0.92
422,3006487,0,"MAX","NUM",20.2
423,3006504,0,"MIN","NUM",0
424,3006504,0,"MAX","NUM",245
425,3006508,0,"MIN","NUM",2.1
426,3006508,0,"MAX","NUM",535
427,3006516,0,"MAX","NUM",5
428,3006516,0,"MIN","NUM",0.2
429,3006522,0,"MAX","NUM",7.83
430,3006522,0,"MIN","NUM",0.04
431,3006573,0,"MAX","NUM",294
432,3006573,0,"MIN","NUM",0
433,3006576,0,"MIN","NUM",-30.1
434,3006576,0,"MAX","NUM",60
435,3006588,0,"MAX","NUM",6690
436,3006588,0,"MIN","NUM",5
437,3006636,0,"MIN","NUM",9
438,3006636,0,"MAX","NUM",51184
439,3006653,0,"MAX","NUM",490
440,3006653,0,"MIN","NUM",10
441,3006661,0,"MAX","NUM",87.4
442,3006661,0,"MIN","NUM",2
443,3006665,0,"MAX","NUM",46.8
444,3006665,0,"MIN","NUM",0
445,3006689,0,"MIN","NUM",0.1
446,3006689,0,"MAX","NUM",2.77
447,3006698,0,"MIN","NUM",-90
448,3006698,0,"MAX","NUM",1364
449,3006717,0,"MIN","NUM",24
450,3006717,0,"MAX","NUM",443
451,3006734,0,"MIN","NUM",0.1
452,3006734,0,"MAX","NUM",66.1
453,3006762,0,"MIN","NUM",12
454,3006762,0,"MAX","NUM",1220
455,3006775,0,"MAX","NUM",11.91
456,3006775,0,"MIN","NUM",0
457,3006828,0,"MIN","NUM",1
458,3006828,0,"MAX","NUM",51
459,3006872,0,"MAX","NUM",1010
460,3006872,0,"MIN","NUM",33
461,3006889,0,"MIN","NUM",12
462,3006889,0,"MAX","NUM",2029
463,3006898,0,"MIN","NUM",7
464,3006898,0,"MAX","NUM",41
465,3006906,0,"MAX","NUM",270
466,3006906,0,"MIN","NUM",-0.2
467,3006923,0,"MAX","NUM",13325
468,3006923,0,"MIN","NUM",-217
469,3007015,0,"MIN","NUM",0.15
470,3007015,0,"MAX","NUM",74.6
471,3007022,0,"MAX","NUM",0.06
472,3007022,0,"MIN","NUM",0.06
473,3007027,0,"MAX","NUM",5.2
474,3007027,0,"MIN","NUM",5.2
475,3007034,0,"MIN","NUM",1
476,3007034,0,"MAX","NUM",528
477,3007070,0,"MIN","NUM",0
478,3007070,0,"MAX","NUM",591
479,3007124,0,"MAX","NUM",167.8
480,3007124,0,"MIN","NUM",0
481,3007150,0,"MAX","NUM",8
482,3007150,0,"MIN","NUM",0
483,3007164,0,"MIN","NUM",0.07
484,3007164,0,"MAX","NUM",9378
485,3007220,0,"MIN","NUM",0
486,3007220,0,"MAX","NUM",575913
487,3007224,0,"MAX","NUM",1
488,3007224,0,"MIN","NUM",1
489,3007238,0,"MIN","NUM",0
490,3007238,0,"MAX","NUM",214.47
491,3007244,0,"MAX","NUM",577
492,3007244,0,"MIN","NUM",577
493,3007256,0,"MAX","NUM",675
494,3007256,0,"MIN","NUM",81
495,3007280,0,"MIN","NUM",0.34
496,3007280,0,"MAX","NUM",0.34
497,3007288,0,"MAX","NUM",12.3
498,3007288,0,"MIN","NUM",3.2
499,3007315,0,"MIN","NUM",0.1
500,3007315,0,"MAX","NUM",23.2
501,3007331,0,"MIN","NUM",9
502,3007331,0,"MAX","NUM",366
503,3007368,0,"MAX","NUM",895.5
504,3007368,0,"MIN","NUM",0.4
505,3007430,0,"MIN","NUM",10
506,3007430,0,"MAX","NUM",1786
507,3007452,0,"MAX","NUM",150
508,3007452,0,"MIN","NUM",10
509,3007456,0,"MIN","NUM",0.1
510,3007456,0,"MAX","NUM",1.83
511,3007458,0,"MIN","NUM",0
512,3007458,0,"MAX","NUM",8200
513,3007470,0,"MAX","NUM",2470
514,3007470,0,"MIN","NUM",0
515,3007480,0,"MAX","NUM",100.65
516,3007480,0,"MIN","NUM",16.94
517,3007518,0,"MIN","NUM",0.17
518,3007518,0,"MAX","NUM",12.3
519,3007542,0,"MAX","NUM",7.22
520,3007542,0,"MIN","NUM",0.12
521,3007561,0,"MAX","NUM",7.8
522,3007561,0,"MIN","NUM",0.3
523,3007662,0,"MAX","NUM",16
524,3007662,0,"MIN","NUM",8
525,3007687,0,"MIN","NUM",0
526,3007687,0,"MAX","NUM",1029
527,3007700,0,"MIN","NUM",0.2
528,3007700,0,"MAX","NUM",2.57
529,3007708,0,"MIN","NUM",0
530,3007708,0,"MAX","NUM",89
531,3007722,0,"MIN","NUM",-90
532,3007722,0,"MAX","NUM",269
533,3007733,0,"MIN","NUM",20
534,3007733,0,"MAX","NUM",225
535,3007757,0,"MIN","NUM",0.1
536,3007757,0,"MAX","NUM",53.8
537,3007785,0,"MAX","NUM",1232.6
538,3007785,0,"MIN","NUM",1
539,3007798,0,"MAX","NUM",1.89
540,3007798,0,"MIN","NUM",0.05
541,3007808,0,"MAX","NUM",438.4
542,3007808,0,"MIN","NUM",0.1
543,3007835,0,"MIN","NUM",0.8
544,3007835,0,"MAX","NUM",49295
545,3007844,0,"MIN","NUM",11.7
546,3007844,0,"MAX","NUM",20.5
547,3007854,0,"MIN","NUM",8
548,3007854,0,"MAX","NUM",2304
549,3007857,0,"MAX","NUM",637
550,3007857,0,"MIN","NUM",2
551,3007858,0,"MAX","NUM",36
552,3007858,0,"MIN","NUM",10
553,3007953,0,"MAX","NUM",783
554,3007953,0,"MIN","NUM",0
555,3007957,0,"MAX","NUM",3.02
