id,analysis_id,"stratum_1","stratum_2","stratum_3","stratum_4","stratum_5",count_value,source_count_value
1200044,3106,"436409","8","Condition","","",3,0
1200045,3106,"4343923","8","Condition","","",3,16
1200046,3106,"4183981","8","Condition","","",3,2
1200047,3106,"44820852","8","Condition","","",3,3
1200048,3106,"44830701","8","Condition","","",3,3
1200049,3106,"45600995","8","Condition","","",3,3
1200050,3106,"35211453","8","Condition","","",3,3
1200051,3106,"35207152","8","Condition","","",3,3
1200052,3106,"44830082","8","Condition","","",3,3
1200053,3106,"35211428","8","Condition","","",3,3
1200054,3106,"44822174","8","Condition","","",3,3
1200055,3106,"44822919","8","Condition","","",3,3
1200056,3106,"35208775","8","Condition","","",3,3
1200057,3106,"45602011","8","Condition","","",3,3
1200058,3106,"44835655","8","Condition","","",3,3
1200059,3106,"44821127","8","Condition","","",3,3
1200060,3106,"44827632","8","Condition","","",3,3
1200061,3106,"44819531","8","Condition","","",3,3
1200062,3106,"45595485","8","Condition","","",3,3
1200063,3106,"44825846","8","Condition","","",3,3
1200064,3106,"44832674","8","Condition","","",3,3
1200065,3106,"44834773","8","Condition","","",3,3
1200066,3106,"45581770","8","Condition","","",3,3
1200067,3106,"44820851","8","Condition","","",3,3
1200068,3106,"44834575","8","Condition","","",3,3
1200069,3106,"35205803","8","Condition","","",3,3
1200070,3106,"200771","8","Condition","","",3,0
1200071,3106,"72487","8","Condition","","",3,2
1200072,3106,"80946","8","Condition","","",3,4
1200073,3106,"201388","8","Condition","","",3,25
1200074,3106,"132718","8","Condition","","",3,1
1200075,3106,"254790","8","Condition","","",3,0
1200076,3106,"45533136","8","Condition","","",3,3
1200077,3106,"44827896","8","Condition","","",3,3
1200078,3106,"44825486","8","Condition","","",3,3
1200079,3106,"44837053","8","Condition","","",3,3
1200080,3106,"44826541","8","Condition","","",3,3
1200081,3106,"44829412","8","Condition","","",3,3
1200082,3106,"44825230","8","Condition","","",3,3
1200083,3106,"45586559","8","Condition","","",3,3
1200084,3106,"45599387","8","Condition","","",3,3
1200085,3106,"45567655","8","Condition","","",3,3
1200086,3106,"44825433","8","Condition","","",3,3
1200087,3106,"44819837","8","Condition","","",3,3
1200088,3106,"45566910","8","Condition","","",3,3
1200089,3106,"44822332","8","Condition","","",3,3
1200090,3106,"35206028","8","Condition","","",3,3
1200091,3106,"44825355","8","Condition","","",3,3
1200092,3106,"44823037","8","Condition","","",3,3
1200093,3106,"35206527","8","Condition","","",3,3
1200094,3106,"44829071","8","Condition","","",3,3
1200095,3106,"44836872","8","Condition","","",3,3
1200096,3106,"45537688","8","Condition","","",3,3
1200097,3106,"45538758","8","Condition","","",3,3
1200098,3106,"44829907","8","Condition","","",3,3
1200099,3106,"44834013","8","Condition","","",3,3
1200100,3106,"44823104","8","Condition","","",3,3
1200101,3106,"44832461","8","Condition","","",3,3
1200102,3106,"4058637","8","Condition","","",3,83
1200103,3106,"381306","8","Condition","","",3,5
1200104,3106,"4110873","8","Condition","","",3,18
1200105,3106,"439713","8","Condition","","",3,1
1200106,3106,"28461","8","Condition","","",3,0
1200107,3106,"4233410","8","Condition","","",3,7
1200108,3106,"199079","8","Condition","","",3,1
1200109,3106,"77131","8","Condition","","",3,0
1200110,3106,"4223942","8","Condition","","",3,27
1200111,3106,"40480431","8","Condition","","",3,0
1200112,3106,"44829833","8","Condition","","",3,3
1200113,3106,"44832416","8","Condition","","",3,3
1200114,3106,"45562277","8","Condition","","",3,3
1200115,3106,"44828892","8","Condition","","",3,3
1200116,3106,"44823375","8","Condition","","",3,3
1200117,3106,"44829011","8","Condition","","",3,3
1200118,3106,"44835710","8","Condition","","",3,3
1200119,3106,"44822415","8","Condition","","",3,3
1200120,3106,"45581732","8","Condition","","",3,3
1200121,3106,"45602263","8","Condition","","",3,3
1200122,3106,"44832232","8","Condition","","",3,3
1200123,3106,"35208109","8","Condition","","",3,3
1200124,3106,"44820627","8","Condition","","",3,3
1200125,3106,"45587994","8","Condition","","",3,3
1200126,3106,"44821366","8","Condition","","",3,3
1200127,3106,"35205449","8","Condition","","",3,3
1200128,3106,"45587177","8","Condition","","",3,3
